ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
DCH,09/04/2019,7.03,29.2,86,45,6.77,7.1,126,32.6,1.6,3.8,8.23,5.8,1100,0.028,5.52,73,1,4.1
DCH,14/05/2019,7.67,30.1,97,57,10.23,5.7,134,41.1,0.52,3.79,7.58,15.4,1900,0.027,7.01,93,0.5,1.8
DCH,11/06/2019,7.59,29.6,115,53,9.88,7.4,139,44.4,0.71,4.79,8.23,9.6,1000,0.033,6.94,92,1.5,2.7
DCH,09/07/2019,7.87,29.2,109,51,10.75,6.6,136,46.2,0.6,4.69,8.25,26,5500,0.022,8.02,104,0.9,4.2
DCH,07/08/2019,7.49,29.1,95,49,10.05,5.7,129,40.7,0.4,3.78,7,8,7700,0.043,7.04,93,0.5,4.4
DCH,10/09/2019,8.21,28.9,73,46,8.51,5.4,123,36.4,0.6,3.68,6.72,16.2,5500,0.019,8.94,116,1.5,4.2
DCH,15/10/2019,7.21,28.6,91,53,9.7,5.5,129,38.6,0.77,3.48,6.84,7.3,1300,0.015,7.56,97,2.1,1.5
DCH,13/11/2019,7.41,24.9,106,54,9.82,6,147,39.3,0.85,3.58,6.61,10.3,2600,0.141,8.02,97,2.5,1.3
DCH,10/12/2019,7.46,29.1,91,36,10.38,5,136,42,0.77,3.9,6.24,12.2,2000,0.08,7.4,98,1.5,1.3
TAG,13/01/2020,7.68,29.3,82,56,10.23,7.9,136,41.8,0.88,3.97,6.63,14.4,1600,0.026,8.86,116,2,1.4
TAG,04/02/2020,7.87,28.6,93,56,10.73,8.3,132,43.1,0.45,3.96,6.32,14.1,17000,0.03,7.36,96,2,1
TAG,10/03/2020,7.92,28.1,93,52,10.69,6.4,139,42.3,0.69,3.78,6.42,14.2,810,0.045,7.51,97,2.5,1
TAG,21/04/2020,7.59,30.5,95,56,11.31,9,164,45.7,0.53,4.23,6.76,8.1,410,0.032,8.29,111,2,1.1
TAG,19/05/2020,8.67,30.2,95,56,6.93,6.7,145,34.5,0.39,4.18,7.36,8.9,360,0.02,8.46,114,2.3,1.6
TAG,16/06/2020,8.8,29.7,82,55,10.57,5.9,144,41.8,0.37,3.75,6.53,14.2,550,0.018,8.56,114,2,1.5
TAG,21/07/2020,8.9,29.6,88,51,9.9,5.3,136,39.4,0.7,3.57,6.88,15.4,9200,0.034,9.66,129,1.5,1.6
TAG,18/08/2020,8.78,29.7,95,50,9.6,5.8,134,37.6,0.5,3.31,5.28,22.4,3900,0.025,8.8,117,1.5,1.4
TAG,22/09/2020,8.71,29.1,56,49,9.3,4.6,137,35.5,0.74,2.99,6.31,18.2,2100,0.026,8.14,98,2,1.6
TAG,21/10/2020,8.31,29.1,136,49,9.8,5.6,123,38.5,0.55,3.41,7.31,11.4,13000,0.024,7.83,103,2,1.4
TAG,18/11/2020,7,27.9,76,50,7.78,8.5,129,35.4,0.62,3.89,5.85,10.5,17000,0.034,4.13,53,2.5,1.1
TAG,01/12/2020,8.13,28.7,56,51,9.96,6.5,122,40.1,0.44,3.71,6.02,9.7,8700,0.027,8.23,108,2,1.2
DCH,13/01/2020,7.51,28.9,93,56,10.47,8.1,134,42.1,0.78,3.88,6.7,13.5,640,0.026,6.89,89,2,1.4
DCH,04/02/2020,7.63,28.4,92,58,10.76,6.2,131,43.7,0.63,4.1,7.65,5.6,3100,0.035,5.39,75,2.5,1.1
DCH,10/03/2020,7.42,28.3,94,52,9.16,7,137,38.6,0.68,3.81,6.67,6.5,1800,0.189,5.76,74,2.5,1.5
DCH,21/04/2020,7.43,30.5,94,59,15.55,15.4,138,56.8,0.47,4.38,6.83,9.2,2800,0.026,6.45,66,1,2.3
DCH,19/05/2020,7.31,26.5,74,32,3.25,6.6,102,25.2,0.4,4.14,6.39,1.4,42000,0.253,6.66,84,0.2,29.5
DCH,16/06/2020,7.68,25.3,103,69,12.08,5.8,109,46.4,0.56,3.95,6.14,15.1,4100,0.024,7.27,89,1,2.5
DCH,21/07/2020,8.2,28.9,86,48,20.64,5.3,129,65.2,0.62,3.33,6.45,11.9,1900,0.037,8.2,108,1,44
DCH,18/08/2020,8.17,29.1,44,48,9.29,4.5,124,38.1,0.57,3.63,5.29,14.8,11000,0.027,7.78,103,1,5
DCH,22/09/2020,8,29.6,46,49,9.59,4.2,124,38,0.53,3.43,6.34,11.2,3000,0.021,8.06,96,1.5,4.5
DCH,21/10/2020,8.22,28.8,98,49,9.37,5.3,122,39,0.61,3.8,6.98,11.1,2400,0.02,7.98,105,1.5,4.7
DCH,18/11/2020,7.72,27.5,78,49,10.32,6.3,128,42.3,0.6,4.03,6.38,12.1,3900,0.042,5.99,90,1.5,2.3
DCH,01/12/2020,8.09,28.2,68,52,9.91,3.1,124,40.2,0.46,3.77,6.14,12.7,14000,0.037,8.03,105,2,1.5
TAG,26/01/2021,8.04,28.6,102,52,9.97,6.4,137,43.7,0.84,4.57,13.27,9.7,2200,0.028,7.34,96,2.1,0.9
TAG,23/02/2021,7.24,29.2,106,51,9.1,5.2,130,37.7,0.76,3.64,6.94,10.3,1400,0.038,8.75,115,2.5,1.1
TAG,16/03/2021,8.2,29.1,100,52,9.71,4.6,133,38.9,0.8,3.58,5.76,8.5,9200,0.09,7.87,104,1.3,1
TAG,20/04/2021,7.9,29.9,78,52,10.4,7.5,135,41.3,0.86,3.73,6.99,10.1,1500,0.079,7.83,105,2.2,1.4
TAG,18/05/2021,8.34,30,96,54,9.97,7.1,135,40.7,0.46,3.85,6.9,9.7,2200,0.083,8.3,111,2,1
